"session_goal_id","goal_tracker_id","activity","present","datetime","clicks","created_by","updated_by","created_at","updated_at"
"1383b6e1-7a40-4718-a640-0579f4c0aa69","01716a80-2749-463b-943d-a5f92c3d1d0e",,false,,2,"6dce2a84-3a67-4636-ac25-92b37b407ceb","6dce2a84-3a67-4636-ac25-92b37b407ceb",2023-06-14 09:49:26.771,2023-06-14 09:49:26.771
"1383b6e1-7a40-4718-a640-0579f4c0aa69","2ab753d9-894f-4fd1-8f4a-7317c7e027c5",,false,,2,"6dce2a84-3a67-4636-ac25-92b37b407ceb","6dce2a84-3a67-4636-ac25-92b37b407ceb",2023-06-14 09:49:26.771,2023-06-14 09:49:26.771
"1383b6e1-7a40-4718-a640-0579f4c0aa69","656cb3fd-d64b-4001-a2a2-9e3bf5e74c95",,false,,2,"6dce2a84-3a67-4636-ac25-92b37b407ceb","6dce2a84-3a67-4636-ac25-92b37b407ceb",2023-06-14 09:49:26.771,2023-06-14 09:49:26.771
aba9151e-2ff8-4ae8-b9b2-9bbe7cc24f15,"01716a80-2749-463b-943d-a5f92c3d1d0e",,false,,,"6dce2a84-3a67-4636-ac25-92b37b407ceb","6dce2a84-3a67-4636-ac25-92b37b407ceb",2023-06-15 04:50:42.599,2023-06-15 04:50:42.599
aba9151e-2ff8-4ae8-b9b2-9bbe7cc24f15,"2ab753d9-894f-4fd1-8f4a-7317c7e027c5",,false,,,"6dce2a84-3a67-4636-ac25-92b37b407ceb","6dce2a84-3a67-4636-ac25-92b37b407ceb",2023-06-15 04:50:42.599,2023-06-15 04:50:42.599
aba9151e-2ff8-4ae8-b9b2-9bbe7cc24f15,"656cb3fd-d64b-4001-a2a2-9e3bf5e74c95",,false,,,"6dce2a84-3a67-4636-ac25-92b37b407ceb","6dce2a84-3a67-4636-ac25-92b37b407ceb",2023-06-15 04:50:42.599,2023-06-15 04:50:42.599
f5c1e239-7830-499b-8b99-562cbb7afba6,d567464f-0664-48c5-b589-04f2fc21e0d6,,false,,,"6dce2a84-3a67-4636-ac25-92b37b407ceb","6dce2a84-3a67-4636-ac25-92b37b407ceb",2023-06-15 12:27:20.517,2023-06-15 12:27:20.517
f5c1e239-7830-499b-8b99-562cbb7afba6,a6f8cbdb-1183-4066-8c79-c33ce36ce216,,false,,,"6dce2a84-3a67-4636-ac25-92b37b407ceb","6dce2a84-3a67-4636-ac25-92b37b407ceb",2023-06-15 12:27:20.517,2023-06-15 12:27:20.517
f5c1e239-7830-499b-8b99-562cbb7afba6,"9a4dffb2-de37-4a86-83c8-1068d800c78c",,false,,,"6dce2a84-3a67-4636-ac25-92b37b407ceb","6dce2a84-3a67-4636-ac25-92b37b407ceb",2023-06-15 12:27:20.517,2023-06-15 12:27:20.517
"33bd7479-d165-4e68-a918-edc20502a57f","9596a999-c27f-42be-8251-b047d54b2aba",,false,,4,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-19 06:10:14.158,2023-06-19 06:10:14.158
"33bd7479-d165-4e68-a918-edc20502a57f",ec7dc5af-5ccb-427c-8614-13dc69c458ac,,false,,5,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-19 06:10:14.158,2023-06-19 06:10:14.158
"33bd7479-d165-4e68-a918-edc20502a57f","5bce8105-43a6-455e-9481-e736bd018d99",,false,,4,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-19 06:10:14.158,2023-06-19 06:10:14.158
"33bd7479-d165-4e68-a918-edc20502a57f","3a52e919-b1a8-4046-9a5f-0d8b2b3d2fd8",,false,,4,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-19 06:10:14.158,2023-06-19 06:10:14.158
bee728a0-b13d-4ddc-94c9-4796b49d1ef2,bb00c678-d1cc-4f95-ba58-92cfb6332936,,false,,,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-20 05:43:26.624,2023-06-20 05:43:26.624
