"caseload_deleted_id","provider_id","client_id","end_date","reason_id","created_by","updated_by","created_at","updated_at"
b4daa11c-cc24-4c4e-9149-2d9c5c71ff34,"99434d8a-54db-4c11-946d-0c73fc92edab",b0e6b713-bc1a-43c9-a34c-606b8dcaa6a2,2023-09-11 00:00:00.000,f6ecbe4d-0b16-47bc-be69-92974eacef19,"547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-09-11 09:35:14.282,2023-09-11 09:35:14.282
"453ee36c-ede8-4eb3-a573-0f5c0ab3af64","7561b2ed-c479-49f7-9529-c118a020f978","67c23861-9b46-4d49-90c5-00e1d32bb953",2023-09-12 00:00:00.000,"80905318-4d33-4af4-b8f8-5ba664483d31","1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-09-11 09:36:52.985,2023-09-11 09:36:52.985
aa812ae5-11a8-4c16-b35b-35f69ae8b8ae,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","0240df02-28ed-4489-8c02-1abe4ab32e61",2023-09-11 00:00:00.000,"43b0be86-2253-41a4-a58d-348bc9fd2a16","1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-09-11 10:02:32.051,2023-09-11 10:02:32.051
"60ed384d-5e6f-48c0-be45-658fae3b1f1c","1482fb1b-8dff-4194-b4de-18c0ba6b4283","510ba079-3914-4fb2-a25b-a0ee1b43d247",2023-09-11 00:00:00.000,aecc165e-24e6-4093-808f-13bbc3d1a4a9,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-09-11 10:02:48.337,2023-09-11 10:02:48.337
d0efab58-e976-45b3-9273-0e1c8fa00023,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","510ba079-3914-4fb2-a25b-a0ee1b43d247",2023-09-11 00:00:00.000,"43b0be86-2253-41a4-a58d-348bc9fd2a16","1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-09-11 10:03:13.692,2023-09-11 10:03:13.692
"9ead352b-6885-43b1-91e5-541c134c0413","1482fb1b-8dff-4194-b4de-18c0ba6b4283",df046f50-4ffb-441a-91c7-73d845617e5c,2023-09-11 00:00:00.000,aecc165e-24e6-4093-808f-13bbc3d1a4a9,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-09-11 10:03:33.034,2023-09-11 10:03:33.034
b0e9e208-f509-403e-8236-236de700b0d7,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","835bdd74-46e6-4468-826e-2f21bfd4d817",2023-09-11 00:00:00.000,"80905318-4d33-4af4-b8f8-5ba664483d31","1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-09-11 10:03:55.398,2023-09-11 10:03:55.398
"8a07580f-f60f-4c22-8a88-a30302b99649","44f0dcf9-a95f-4ced-af56-d1340703d9e4",aae276d0-cbf6-43ec-9bb5-45ca4d4fe97d,2023-09-11 00:00:00.000,f6ecbe4d-0b16-47bc-be69-92974eacef19,"44f0dcf9-a95f-4ced-af56-d1340703d9e4","44f0dcf9-a95f-4ced-af56-d1340703d9e4",2023-09-11 10:10:25.257,2023-09-11 10:10:25.257
"63ef8e1e-8aa6-402b-9a48-b5921b1780e4","44f0dcf9-a95f-4ced-af56-d1340703d9e4","14982190-aea5-4854-bd83-8a005d27e544",2023-09-11 00:00:00.000,"1e6940a9-f105-4faa-96ca-f10d3bb41098","44f0dcf9-a95f-4ced-af56-d1340703d9e4","44f0dcf9-a95f-4ced-af56-d1340703d9e4",2023-09-11 10:14:10.766,2023-09-11 10:14:10.766
c941aade-210a-4318-989d-5a3aeea59424,"44f0dcf9-a95f-4ced-af56-d1340703d9e4",aae276d0-cbf6-43ec-9bb5-45ca4d4fe97d,2023-09-11 00:00:00.000,"1e6940a9-f105-4faa-96ca-f10d3bb41098","44f0dcf9-a95f-4ced-af56-d1340703d9e4","44f0dcf9-a95f-4ced-af56-d1340703d9e4",2023-09-11 10:57:40.564,2023-09-11 10:57:40.564
eef1839f-433e-4c12-ad11-8eb6a25f10c5,"44f0dcf9-a95f-4ced-af56-d1340703d9e4",aae276d0-cbf6-43ec-9bb5-45ca4d4fe97d,2023-09-11 00:00:00.000,e95cbb5a-af30-4781-89ae-669ec1a72899,"44f0dcf9-a95f-4ced-af56-d1340703d9e4","44f0dcf9-a95f-4ced-af56-d1340703d9e4",2023-09-11 11:28:10.263,2023-09-11 11:28:10.263
"541ada6c-819e-4dd9-9561-e3da91a8475d","99434d8a-54db-4c11-946d-0c73fc92edab","197219fb-f97c-4a1b-bb05-6d0ecf19a1f2",2023-09-11 00:00:00.000,"89bc069e-431b-42d1-b633-6eaa5ad0259e","547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-09-11 11:32:35.043,2023-09-11 11:32:35.043
"377007f5-a515-4445-8db7-d70869e4e842",f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,a73fe12a-510e-48a8-a1d5-99a633cb8244,2023-09-11 00:00:00.000,"89bc069e-431b-42d1-b633-6eaa5ad0259e",f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,2023-09-11 11:40:56.081,2023-09-11 11:40:56.081
"2e83675e-e339-4e02-bc4d-771b48716603",f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,"05b172eb-eee4-4212-83f8-09d8f281bd84",2023-09-11 00:00:00.000,e95cbb5a-af30-4781-89ae-669ec1a72899,f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,2023-09-11 11:41:56.550,2023-09-11 11:41:56.550
"00ed938f-8e6e-4bd8-8a8b-ec28e69154b6","99434d8a-54db-4c11-946d-0c73fc92edab","0ed875dc-6ec3-4b69-8928-6279c47f2d04",2023-09-11 00:00:00.000,"89bc069e-431b-42d1-b633-6eaa5ad0259e","547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-09-11 11:58:14.440,2023-09-11 11:58:14.440
d1d7c650-dd38-4a90-8d77-4f868bf96012,"44f0dcf9-a95f-4ced-af56-d1340703d9e4",aae276d0-cbf6-43ec-9bb5-45ca4d4fe97d,2023-09-11 00:00:00.000,"80905318-4d33-4af4-b8f8-5ba664483d31","44f0dcf9-a95f-4ced-af56-d1340703d9e4","44f0dcf9-a95f-4ced-af56-d1340703d9e4",2023-09-11 12:11:49.595,2023-09-11 12:11:49.595
d39e038c-266c-4a9a-ab6b-8048c24e2b99,"99434d8a-54db-4c11-946d-0c73fc92edab",b0e6b713-bc1a-43c9-a34c-606b8dcaa6a2,2023-09-11 00:00:00.000,"80905318-4d33-4af4-b8f8-5ba664483d31","547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-09-11 12:18:18.980,2023-09-11 12:18:18.980
ec6ec420-099a-4364-8abd-394fee9e6014,"44f0dcf9-a95f-4ced-af56-d1340703d9e4",aae276d0-cbf6-43ec-9bb5-45ca4d4fe97d,2023-09-11 00:00:00.000,e95cbb5a-af30-4781-89ae-669ec1a72899,"44f0dcf9-a95f-4ced-af56-d1340703d9e4","44f0dcf9-a95f-4ced-af56-d1340703d9e4",2023-09-11 12:20:19.564,2023-09-11 12:20:19.564
"1ae5ced7-5a13-4f5d-b5ca-8130d5b1d3e9","44f0dcf9-a95f-4ced-af56-d1340703d9e4",aae276d0-cbf6-43ec-9bb5-45ca4d4fe97d,2023-09-11 00:00:00.000,"43b0be86-2253-41a4-a58d-348bc9fd2a16","44f0dcf9-a95f-4ced-af56-d1340703d9e4","44f0dcf9-a95f-4ced-af56-d1340703d9e4",2023-09-11 12:23:53.551,2023-09-11 12:23:53.551
"08fd60ae-0c2c-4184-bb6f-0c478a0024c0","44f0dcf9-a95f-4ced-af56-d1340703d9e4",aae276d0-cbf6-43ec-9bb5-45ca4d4fe97d,2023-09-11 00:00:00.000,f6ecbe4d-0b16-47bc-be69-92974eacef19,"44f0dcf9-a95f-4ced-af56-d1340703d9e4","44f0dcf9-a95f-4ced-af56-d1340703d9e4",2023-09-11 12:25:24.390,2023-09-11 12:25:24.390
c68f6f0e-cf13-4911-86ab-7c26ec675ef5,"99434d8a-54db-4c11-946d-0c73fc92edab","6fb87943-7153-499e-bb2b-9e52ae1b8a2c",2023-09-11 00:00:00.000,f6ecbe4d-0b16-47bc-be69-92974eacef19,"547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-09-12 04:08:12.407,2023-09-12 04:08:12.407
"77c7e54f-3a08-4028-8742-b29f470d11af","7561b2ed-c479-49f7-9529-c118a020f978","67c23861-9b46-4d49-90c5-00e1d32bb953",2023-09-12 00:00:00.000,"80905318-4d33-4af4-b8f8-5ba664483d31","1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-09-12 14:56:42.681,2023-09-12 14:56:42.681
