"session_client_id","client_id","customer_id","division_id","session_id","plan_id","present","notes","client_absence_reason_id","notes_plan","data_session","created_by","updated_by","created_at","updated_at","client_attendance","show_goals","session_notes_plan"
"14a96160-401d-440b-bb62-be469f1c0256",eaef2fe6-a863-433c-93f2-83b0dab02fdf,"348a5dd0-c2ec-44b6-8566-baa64c754480",,d1139a4b-939e-4ff1-a8f3-350cfa606bae,"43659535-da00-47eb-8126-19e002728132",true,"",,,true,f05d5a9e-c9d1-4d6b-9210-eac93618323d,f05d5a9e-c9d1-4d6b-9210-eac93618323d,2023-06-14 07:28:26.758,2023-06-14 07:28:26.758,false,false,false
"5c138172-78f5-4f90-b298-80af413f05b4","823044e3-4d69-4309-b860-2752c153dad4",b6d50805-d164-45e5-b63c-88b37a569c52,,dd3f17f4-b666-4bbb-8135-c6aa119cd77e,"5a4e5dd0-c9c5-4304-ae2f-91637fd49a1c",true,"",,test,true,"6dce2a84-3a67-4636-ac25-92b37b407ceb","6dce2a84-3a67-4636-ac25-92b37b407ceb",2023-06-14 09:49:26.771,2023-06-14 09:49:26.771,false,false,false
"5385edc6-32ee-427e-9be0-3351a0104454",c36a5174-fdd7-492a-b2c8-e942b0fc5b8d,"13d85b9f-f1ee-45d2-a556-f2ad5ad712de",,"629164c5-4cb2-413f-9c6e-21d236712ebe","881eee4c-1167-4d7e-aa76-46112f15348a",true,"[{ ""Type"": ""Text"", ""Title"": ""Quick Plan Note Title"", ""fieldName"": ""quick_plan_notes"", ""Required"": ""Y"", ""HelpText"": ""Quick Plan Notes""}]",,,false,"6dce2a84-3a67-4636-ac25-92b37b407ceb","6dce2a84-3a67-4636-ac25-92b37b407ceb",2023-06-14 09:55:00.401,2023-06-14 09:55:00.401,false,false,false
e5e0fc13-513c-4869-afd2-b480e1f0df00,c36a5174-fdd7-492a-b2c8-e942b0fc5b8d,"13d85b9f-f1ee-45d2-a556-f2ad5ad712de",,addef03b-db7d-4be6-aa4a-d7b346a6faab,c2ddf542-3418-4291-89b3-d33054943995,true,"",,,true,"6dce2a84-3a67-4636-ac25-92b37b407ceb","6dce2a84-3a67-4636-ac25-92b37b407ceb",2023-06-14 12:57:07.251,2023-06-14 12:57:07.251,false,false,false
d1774b76-bf73-4940-82cf-dd0ee1b42111,"823044e3-4d69-4309-b860-2752c153dad4",b6d50805-d164-45e5-b63c-88b37a569c52,,"34d56d2c-1749-4c9b-8f81-c9a527445740","5a4e5dd0-c9c5-4304-ae2f-91637fd49a1c",true,"",,,true,"6dce2a84-3a67-4636-ac25-92b37b407ceb","6dce2a84-3a67-4636-ac25-92b37b407ceb",2023-06-15 04:59:28.705,2023-06-15 04:59:28.705,false,false,false
a38c877a-72f8-41f2-95c5-90eaf5d1a00f,a0bf6500-e77c-4a3c-9fe8-9ede7cba2f76,"13d85b9f-f1ee-45d2-a556-f2ad5ad712de",,addef03b-db7d-4be6-aa4a-d7b346a6faab,"928b014c-e589-49bc-8e2c-4dee47368f53",true,"""[{\""Type\"":\""Text\"",\""Title\"":\""Quick Plan Note Title\"",\""fieldName\"":\""quick_plan_notes\"",\""Required\"":\""Y\"",\""HelpText\"":null}]""",,,false,"6dce2a84-3a67-4636-ac25-92b37b407ceb","6dce2a84-3a67-4636-ac25-92b37b407ceb",2023-06-14 12:57:07.251,2023-06-14 12:57:07.251,false,false,false
a4e6e03d-a778-4471-abe7-f1b78595b80c,b6a7cb38-eb17-4f8d-88ba-e498a920568b,"348a5dd0-c2ec-44b6-8566-baa64c754480",,"9202725f-9d39-4b39-a55e-ef3a404758bc",f2c2104d-5d9f-422a-bb05-fd1598441656,true,"[{ ""Type"": ""Text"", ""Title"": ""Quick Plan Note Title"", ""fieldName"": ""quick_plan_notes"", ""Required"": ""Y"", ""HelpText"": ""Quick Plan Notes""}]",,,false,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-14 13:49:47.837,2023-06-14 13:49:47.837,false,false,false
ea1244c3-3660-4c1c-8346-620135f13eb5,a1013f08-b105-494e-aaff-0407b01ddfea,"13d85b9f-f1ee-45d2-a556-f2ad5ad712de",,"6de65e40-eeaf-4fb1-99fc-43b8cb45f353",,true,"",,,false,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-14 13:54:09.275,2023-06-14 13:54:09.275,false,false,false
"47a0f650-bae3-4432-9bdd-5a2c94095c7f","25fbf0c4-41bc-458e-8519-0fd61f6f63f6","13d85b9f-f1ee-45d2-a556-f2ad5ad712de",,"6de65e40-eeaf-4fb1-99fc-43b8cb45f353",,true,"",,,false,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-14 13:54:26.941,2023-06-14 13:54:26.941,false,false,false
"09bb5010-05d4-4e5e-a76d-fa8a9d58bb6d",eaef2fe6-a863-433c-93f2-83b0dab02fdf,"348a5dd0-c2ec-44b6-8566-baa64c754480",,"11363fa3-4662-48d3-9727-9e5b9902bd02","43659535-da00-47eb-8126-19e002728132",true,"",,,true,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-14 16:32:37.121,2023-06-14 16:32:37.121,false,false,false
"86ffb359-873d-4752-9570-1a55f7a50317","06de79e9-29df-44c9-860f-53ab4e638235",b6d50805-d164-45e5-b63c-88b37a569c52,,e1bb2aed-132e-4a65-9121-29d0362de493,a0ded12d-f614-48a0-af00-b72de974ac5c,true,"",,,true,"6dce2a84-3a67-4636-ac25-92b37b407ceb","6dce2a84-3a67-4636-ac25-92b37b407ceb",2023-06-14 18:17:40.748,2023-06-14 18:17:40.748,false,false,false
"8d370484-e755-44e4-8368-54c54202c9f9",fb841292-6222-44c7-a802-fc5ac3e6c5b3,b90b0bca-1ffc-4954-b30e-23453ee8a65e,,ff73e3e8-5475-4542-90b9-c42af42a53fa,d48b6210-cf50-4584-8441-9aa70657ad83,true,"",,,true,"547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-06-15 04:43:44.286,2023-06-15 04:43:44.286,false,false,false
cc050ded-f524-435b-959c-fc756020e5b5,fb841292-6222-44c7-a802-fc5ac3e6c5b3,b90b0bca-1ffc-4954-b30e-23453ee8a65e,,e9db1dd5-2c6c-45a9-b3b7-b9451b7ba738,d48b6210-cf50-4584-8441-9aa70657ad83,false,"",,,true,"547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-06-13 05:20:16.651,2023-06-13 05:20:16.651,false,false,false
