"session_id","service_id","created_by","updated_by","created_at","updated_at"
"13459079-2220-43a9-b254-28152ff904de",a9c72446-d1f8-4466-8ee9-905b47f1a009,"99434d8a-54db-4c11-946d-0c73fc92edab","99434d8a-54db-4c11-946d-0c73fc92edab",2023-06-13 05:07:03.782,2023-06-13 05:07:03.782
"014f4f6b-6c8b-4db6-b79e-63791c6108ec",a9c72446-d1f8-4466-8ee9-905b47f1a009,"547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-06-13 05:11:53.637,2023-06-13 05:11:53.637
e9db1dd5-2c6c-45a9-b3b7-b9451b7ba738,"3b42485d-6b6b-4d4f-b9cf-2ad45596bde5","547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-06-13 05:20:16.651,2023-06-13 05:20:16.651
"9955fc0b-b1d1-4d14-8d5a-e03d9ecfed90","3b42485d-6b6b-4d4f-b9cf-2ad45596bde5","547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-06-13 05:28:30.424,2023-06-13 05:28:30.424
"130cb793-2553-44e5-8a78-8dea09cccad3","8783341c-7dc2-41c5-b294-c26b39c0a32b","547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-06-13 05:30:56.086,2023-06-13 05:30:56.086
"5258af3f-1647-46a3-aa79-b9fec1848449",a9c72446-d1f8-4466-8ee9-905b47f1a009,"547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-06-13 05:47:00.382,2023-06-13 05:47:00.382
"65901be7-6c8a-41ff-be98-dba93cb50d36",a9c72446-d1f8-4466-8ee9-905b47f1a009,"4ccf43fc-53a3-4020-9db7-058cf15fa89e","4ccf43fc-53a3-4020-9db7-058cf15fa89e",2023-06-13 18:56:19.551,2023-06-13 18:56:19.551
"43609f6d-0e3d-4e64-9485-2efdcce8ac33",cc8eb6f4-3aad-45e0-98f0-5e58e523ac08,a9d212cd-ff69-4e5c-b97a-0300bce58ff2,a9d212cd-ff69-4e5c-b97a-0300bce58ff2,2023-06-13 22:07:20.975,2023-06-13 22:07:20.975
"69bf63c4-7626-49e6-a16a-e791d10bb79e",a9c72446-d1f8-4466-8ee9-905b47f1a009,"547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-06-14 06:35:56.420,2023-06-14 06:35:56.420
"6de65e40-eeaf-4fb1-99fc-43b8cb45f353","39718829-c72c-4fe6-9c44-2472df782c94","1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-14 06:48:01.711,2023-06-14 06:48:01.711
