"session_goal_id","session_id","goal_id","plan_id","client_id","session_rate_id","present","activity","note","status","created_by","updated_by","created_at","updated_at","data_collection_type_id","positive","negative","neutral","achieved","target","time_in_seconds","min_rating","max_rating","percentage","goal_number","parent_goal_id","rating","frequency"
d57d4f7a-f145-4f52-98b0-7b23eb1005ca,"6de65e40-eeaf-4fb1-99fc-43b8cb45f353","26f8518b-021e-4155-995d-1ab4a1b74627","8db88e9e-d9be-4c5c-9ecb-f1a1283a2f70","02b9ac76-a022-4bd8-a0b8-5374b4b442fe",,false,,,true,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-14 13:54:43.480,2023-06-14 13:54:43.480,"3e316f12-a229-4eae-92d1-8ed64cca2029",,,,,,,0,0,,2.6,"54337f98-913a-4662-bbbd-a622fa351277",,
"65364a98-3f80-44f6-bfcf-c901cf5ad31a","093b4fd7-6e2d-4b38-a9f5-7ec1c0b639df","9816ae3b-8871-4a95-b6b8-9a8628791d15",a5d313e7-dcba-4025-b812-e2caa3a24e65,fb44eef0-832f-423a-a967-aa5cb4f7a2af,,false,,,true,"8d547e8c-81c7-431a-b2b5-3dc95076ae70","8d547e8c-81c7-431a-b2b5-3dc95076ae70",2023-06-16 14:03:23.296,2023-06-16 14:03:23.296,"274d0a55-0fb2-496b-9010-527fece976be",,,,,,,,,,1.0,,,
"12f6774d-f2cc-46f1-98ff-f0d09c22ecf4","6de65e40-eeaf-4fb1-99fc-43b8cb45f353","207a2105-d173-4db9-8280-8271946a8f4c",c2ddf542-3418-4291-89b3-d33054943995,c36a5174-fdd7-492a-b2c8-e942b0fc5b8d,,false,,,true,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-14 06:48:01.711,2023-06-14 06:48:01.711,"3e316f12-a229-4eae-92d1-8ed64cca2029",,,,,,,,,,1.0,,,
"9b0355e0-5375-4c3c-b6c0-5a9acc915ff8","6de65e40-eeaf-4fb1-99fc-43b8cb45f353",dc16b94c-945f-4acb-9edd-a71aa9d44ad4,"8db88e9e-d9be-4c5c-9ecb-f1a1283a2f70","02b9ac76-a022-4bd8-a0b8-5374b4b442fe",,false,,,true,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-14 13:54:43.480,2023-06-14 13:54:43.480,c8521421-2822-4301-9edb-005ff2111e82,,,,,,,110,120,,1.0,,,
"7e71d558-cca2-44da-b893-bc5912066c6a","6de65e40-eeaf-4fb1-99fc-43b8cb45f353","606c4853-413e-40e8-a264-cde399a12f3c","8db88e9e-d9be-4c5c-9ecb-f1a1283a2f70","02b9ac76-a022-4bd8-a0b8-5374b4b442fe",,false,,,true,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-14 13:54:43.480,2023-06-14 13:54:43.480,c8521421-2822-4301-9edb-005ff2111e82,,,,,,,12,150,,1.2,dc16b94c-945f-4acb-9edd-a71aa9d44ad4,,
"352879c6-a30a-4b78-8ec1-06343dc62fe1","6de65e40-eeaf-4fb1-99fc-43b8cb45f353","6e713d84-d359-4bc0-88d5-545aada39a1b","8db88e9e-d9be-4c5c-9ecb-f1a1283a2f70","02b9ac76-a022-4bd8-a0b8-5374b4b442fe",,false,,,true,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-14 13:54:43.480,2023-06-14 13:54:43.480,c8521421-2822-4301-9edb-005ff2111e82,,,,,,,114,159,,1.3,dc16b94c-945f-4acb-9edd-a71aa9d44ad4,,
"32848d66-77bc-4195-a68e-f5fbe4ec7032","6de65e40-eeaf-4fb1-99fc-43b8cb45f353",f9ff42e6-26a7-434f-8e1e-8d07b022da42,"8db88e9e-d9be-4c5c-9ecb-f1a1283a2f70","02b9ac76-a022-4bd8-a0b8-5374b4b442fe",,false,,,true,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-14 13:54:43.480,2023-06-14 13:54:43.480,"1d42a188-37af-4530-9cd5-c69569cd65ce",,,,,,,0,0,,1.4,dc16b94c-945f-4acb-9edd-a71aa9d44ad4,,
"36453302-8c37-4d1f-bad1-62fd94d92b92","6de65e40-eeaf-4fb1-99fc-43b8cb45f353","54337f98-913a-4662-bbbd-a622fa351277","8db88e9e-d9be-4c5c-9ecb-f1a1283a2f70","02b9ac76-a022-4bd8-a0b8-5374b4b442fe",,false,,,true,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-14 13:54:43.480,2023-06-14 13:54:43.480,"6b7860ea-5a9c-4614-bdd1-36e1e924f92c",,,,,,,,,,2.0,,,
"65bec57d-c647-4727-9914-10baaa1fcb35","6de65e40-eeaf-4fb1-99fc-43b8cb45f353","7cd4ae25-5493-4e26-9c18-04e5340b6c82","8db88e9e-d9be-4c5c-9ecb-f1a1283a2f70","02b9ac76-a022-4bd8-a0b8-5374b4b442fe",,false,,,true,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-14 13:54:43.480,2023-06-14 13:54:43.480,c8521421-2822-4301-9edb-005ff2111e82,,,,,,,11,111,,2.1,"54337f98-913a-4662-bbbd-a622fa351277",,
"44b82f62-35cf-498e-be44-f74c8dcbceb8","6de65e40-eeaf-4fb1-99fc-43b8cb45f353","9aea3f39-7df6-4649-affc-7269d7017d11","8db88e9e-d9be-4c5c-9ecb-f1a1283a2f70","02b9ac76-a022-4bd8-a0b8-5374b4b442fe",,false,,,true,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-14 13:54:43.480,2023-06-14 13:54:43.480,"3e316f12-a229-4eae-92d1-8ed64cca2029",,,,,,,0,0,,2.2,"54337f98-913a-4662-bbbd-a622fa351277",,
